month,generated_count,real_count,avg_similarity
2024-07,40,2283,0.4775156132876873
2024-08,40,2092,0.4699156261980534
2024-09,40,2148,0.497834924608469
2024-10,40,2262,0.4618197478353977
2024-11,40,2021,0.4852595508098602
2024-12,40,1855,0.4691181965172291
2025-01,40,2329,0.48877555653452875
2025-02,40,2034,0.4583319567143917
