"Step","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_completion","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_completion__MIN","time_reasoning/combined_tasks_from_dynamic_alpha_increasing - val/pred_reward_time_completion__MAX"
"0","0.5964029975593657","0.5964029975593657","0.5964029975593657"
"10","0.5885799354021015","0.5885799354021015","0.5885799354021015"
"20","0.5891137884815414","0.5891137884815414","0.5891137884815414"
"30","0.6023735547852642","0.6023735547852642","0.6023735547852642"
"40","0.5908347739004998","0.5908347739004998","0.5908347739004998"
"50","0.5940004913520884","0.5940004913520884","0.5940004913520884"
"60","0.5962031633586744","0.5962031633586744","0.5962031633586744"
"70","0.6014851207858694","0.6014851207858694","0.6014851207858694"
"80","0.5987370208335749","0.5987370208335749","0.5987370208335749"
"90","0.5862707627770987","0.5862707627770987","0.5862707627770987"
"100","0.5836000685384963","0.5836000685384963","0.5836000685384963"
"110","0.5918469119460051","0.5918469119460051","0.5918469119460051"
"120","0.586194245194386","0.586194245194386","0.586194245194386"
"130","0.6003309086665778","0.6003309086665778","0.6003309086665778"
"140","0.5940198747649963","0.5940198747649963","0.5940198747649963"
"150","0.5924006411866276","0.5924006411866276","0.5924006411866276"
"160","0.5915113807785706","0.5915113807785706","0.5915113807785706"
"170","0.5885511666881917","0.5885511666881917","0.5885511666881917"
"180","0.6016918088299923","0.6016918088299923","0.6016918088299923"
"190","0.5950084131977214","0.5950084131977214","0.5950084131977214"
"200","0.593634462192156","0.593634462192156","0.593634462192156"
"210","0.5871511863117593","0.5871511863117593","0.5871511863117593"
"220","0.5871254916350381","0.5871254916350381","0.5871254916350381"
"230","0.6046995563543481","0.6046995563543481","0.6046995563543481"
"240","0.6060093100210627","0.6060093100210627","0.6060093100210627"
"250","0.6004282954582394","0.6004282954582394","0.6004282954582394"
"260","0.6069791427765012","0.6069791427765012","0.6069791427765012"
"270","0.6067506606097028","0.6067506606097028","0.6067506606097028"
"280","0.599802065183122","0.599802065183122","0.599802065183122"
"290","0.6007327159632525","0.6007327159632525","0.6007327159632525"
"300","0.6070715196403619","0.6070715196403619","0.6070715196403619"
"310","0.6022138389829047","0.6022138389829047","0.6022138389829047"
"320","0.60541394807013","0.60541394807013","0.60541394807013"
"330","0.6063553318822219","0.6063553318822219","0.6063553318822219"
"340","0.6106106200606114","0.6106106200606114","0.6106106200606114"
"350","0.6059453546508815","0.6059453546508815","0.6059453546508815"
"360","0.6059824363476064","0.6059824363476064","0.6059824363476064"
"370","0.5996343201386538","0.5996343201386538","0.5996343201386538"
