"train/global_step","rare-sunset-210 - _step","rare-sunset-210 - _step__MIN","rare-sunset-210 - _step__MAX","rare-sunset-210 - train/rewards/wrapped_reward/mean","rare-sunset-210 - train/rewards/wrapped_reward/mean__MIN","rare-sunset-210 - train/rewards/wrapped_reward/mean__MAX","royal-water-208 - _step","royal-water-208 - _step__MIN","royal-water-208 - _step__MAX","royal-water-208 - train/rewards/wrapped_reward/mean","royal-water-208 - train/rewards/wrapped_reward/mean__MIN","royal-water-208 - train/rewards/wrapped_reward/mean__MAX"
"66","1054","1054","1054","0.1875","0.1875","0.1875","1054","1054","1054","0.375","0.375","0.375"
"67","1070","1070","1070","0.3125","0.3125","0.3125","1070","1070","1070","0.15625","0.15625","0.15625"
"68","1086","1086","1086","0.40625","0.40625","0.40625","1086","1086","1086","0.40625","0.40625","0.40625"
"69","1102","1102","1102","0.4375","0.4375","0.4375","1102","1102","1102","0.15625","0.15625","0.15625"
"70","1118","1118","1118","0.09375","0.09375","0.09375","1118","1118","1118","0.1875","0.1875","0.1875"
"71","1134","1134","1134","0.34375","0.34375","0.34375","1134","1134","1134","0.40625","0.40625","0.40625"
"72","1150","1150","1150","0.34375","0.34375","0.34375","1150","1150","1150","0.1875","0.1875","0.1875"
"73","1166","1166","1166","0.34375","0.34375","0.34375","1166","1166","1166","0.15625","0.15625","0.15625"
"74","1182","1182","1182","0.3125","0.3125","0.3125","1182","1182","1182","0.1875","0.1875","0.1875"
"75","1198","1198","1198","0.15625","0.15625","0.15625","1198","1198","1198","0.40625","0.40625","0.40625"
"76","1214","1214","1214","0.40625","0.40625","0.40625","1214","1214","1214","0.21875","0.21875","0.21875"
"77","1230","1230","1230","0.28125","0.28125","0.28125","1230","1230","1230","0.5625","0.5625","0.5625"
"78","1246","1246","1246","0.40625","0.40625","0.40625","1246","1246","1246","0.28125","0.28125","0.28125"
"79","1262","1262","1262","0.375","0.375","0.375","1262","1262","1262","0.4375","0.4375","0.4375"
"80","1278","1278","1278","0.25","0.25","0.25","1278","1278","1278","0.46875","0.46875","0.46875"
"81","1294","1294","1294","0.3125","0.3125","0.3125","1294","1294","1294","0.28125","0.28125","0.28125"
"82","1310","1310","1310","0.65625","0.65625","0.65625","1310","1310","1310","0.46875","0.46875","0.46875"
"83","1326","1326","1326","0.53125","0.53125","0.53125","1326","1326","1326","0.1875","0.1875","0.1875"
"84","1342","1342","1342","0.21875","0.21875","0.21875","1342","1342","1342","0.34375","0.34375","0.34375"
"85","1358","1358","1358","0.3125","0.3125","0.3125","1358","1358","1358","0.3125","0.3125","0.3125"
"86","1374","1374","1374","0.53125","0.53125","0.53125","1374","1374","1374","0.40625","0.40625","0.40625"
"87","1390","1390","1390","0.28125","0.28125","0.28125","1390","1390","1390","0.28125","0.28125","0.28125"
"88","1406","1406","1406","0.375","0.375","0.375","1406","1406","1406","0.375","0.375","0.375"
"89","1422","1422","1422","0.375","0.375","0.375","1422","1422","1422","0.34375","0.34375","0.34375"
"90","1438","1438","1438","0.375","0.375","0.375","1438","1438","1438","0.15625","0.15625","0.15625"
"91","1454","1454","1454","0.46875","0.46875","0.46875","1454","1454","1454","0.46875","0.46875","0.46875"
"92","1470","1470","1470","0.03125","0.03125","0.03125","1470","1470","1470","0.3125","0.3125","0.3125"
"93","1486","1486","1486","0.125","0.125","0.125","1486","1486","1486","0.65625","0.65625","0.65625"
"94","1502","1502","1502","0.34375","0.34375","0.34375","1502","1502","1502","0.40625","0.40625","0.40625"
"95","1518","1518","1518","0.34375","0.34375","0.34375","1518","1518","1518","0.21875","0.21875","0.21875"
"96","1534","1534","1534","0.25","0.25","0.25","1534","1534","1534","0.5","0.5","0.5"
"97","1550","1550","1550","0.3125","0.3125","0.3125","1550","1550","1550","0.34375","0.34375","0.34375"
"98","1566","1566","1566","0.34375","0.34375","0.34375","1566","1566","1566","0.59375","0.59375","0.59375"
"99","1582","1582","1582","0.40625","0.40625","0.40625","1582","1582","1582","0.625","0.625","0.625"
"100","1598","1598","1598","0.28125","0.28125","0.28125","1598","1598","1598","0.46875","0.46875","0.46875"
"101","1614","1614","1614","0.375","0.375","0.375","1614","1614","1614","0.375","0.375","0.375"
"102","1630","1630","1630","0.4375","0.4375","0.4375","1630","1630","1630","0.3125","0.3125","0.3125"
"103","1646","1646","1646","0.34375","0.34375","0.34375","1646","1646","1646","0.21875","0.21875","0.21875"
"104","1662","1662","1662","0.28125","0.28125","0.28125","1662","1662","1662","0.34375","0.34375","0.34375"
"105","1678","1678","1678","0.46875","0.46875","0.46875","1678","1678","1678","0.5625","0.5625","0.5625"
"106","1694","1694","1694","0.5","0.5","0.5","1694","1694","1694","0.5625","0.5625","0.5625"
"107","1710","1710","1710","0.46875","0.46875","0.46875","1710","1710","1710","0.46875","0.46875","0.46875"
"108","1726","1726","1726","0.40625","0.40625","0.40625","1726","1726","1726","0.5","0.5","0.5"
"109","1742","1742","1742","0.4375","0.4375","0.4375","1742","1742","1742","0.5","0.5","0.5"
"110","1758","1758","1758","0.25","0.25","0.25","1758","1758","1758","0.4375","0.4375","0.4375"
"111","1774","1774","1774","0.46875","0.46875","0.46875","1774","1774","1774","0.34375","0.34375","0.34375"
"112","1790","1790","1790","0.3125","0.3125","0.3125","1790","1790","1790","0.625","0.625","0.625"
"113","1806","1806","1806","0.4375","0.4375","0.4375","1806","1806","1806","0.5625","0.5625","0.5625"
"114","1822","1822","1822","0.34375","0.34375","0.34375","1822","1822","1822","0.40625","0.40625","0.40625"
"115","1838","1838","1838","0.375","0.375","0.375","1838","1838","1838","0.75","0.75","0.75"
"116","1854","1854","1854","0.46875","0.46875","0.46875","1854","1854","1854","0.4375","0.4375","0.4375"
"117","1870","1870","1870","0.375","0.375","0.375","1870","1870","1870","0.71875","0.71875","0.71875"
"118","1886","1886","1886","0.1875","0.1875","0.1875","1886","1886","1886","0.59375","0.59375","0.59375"
"119","1902","1902","1902","0.25","0.25","0.25","1902","1902","1902","0.15625","0.15625","0.15625"
"120","1918","1918","1918","0.34375","0.34375","0.34375","1918","1918","1918","0.46875","0.46875","0.46875"
"121","1934","1934","1934","0.4375","0.4375","0.4375","1934","1934","1934","0.59375","0.59375","0.59375"
"122","1950","1950","1950","0.4375","0.4375","0.4375","1950","1950","1950","0.46875","0.46875","0.46875"
