"Step","news_inference/train_easy_2e-6 - response_length/mean","news_inference/train_easy_2e-6 - response_length/mean__MIN","news_inference/train_easy_2e-6 - response_length/mean__MAX","news_inference/train_easy_kl_1e-4 - response_length/mean","news_inference/train_easy_kl_1e-4 - response_length/mean__MIN","news_inference/train_easy_kl_1e-4 - response_length/mean__MAX"
"101","62.84062576293945","62.84062576293945","62.84062576293945","99.4390640258789","99.4390640258789","99.4390640258789"
"102","61.21406173706055","61.21406173706055","61.21406173706055","105.4546890258789","105.4546890258789","105.4546890258789"
"103","61.154685974121094","61.154685974121094","61.154685974121094","104.5078125","104.5078125","104.5078125"
"104","61.037498474121094","61.037498474121094","61.037498474121094","109.69218444824219","109.69218444824219","109.69218444824219"
"105","59.9921875","59.9921875","59.9921875","111.3031234741211","111.3031234741211","111.3031234741211"
"106","60.640625","60.640625","60.640625","109.9906234741211","109.9906234741211","109.9906234741211"
"107","62.18281173706055","62.18281173706055","62.18281173706055","106.59375","106.59375","106.59375"
"108","62.392189025878906","62.392189025878906","62.392189025878906","103.16874694824219","103.16874694824219","103.16874694824219"
"109","62.0703125","62.0703125","62.0703125","99.90156555175781","99.90156555175781","99.90156555175781"
"110","62.928123474121094","62.928123474121094","62.928123474121094","100.02812194824219","100.02812194824219","100.02812194824219"
"111","62.31562423706055","62.31562423706055","62.31562423706055","100.2984390258789","100.2984390258789","100.2984390258789"
"112","64.1312484741211","64.1312484741211","64.1312484741211","102.5687484741211","102.5687484741211","102.5687484741211"
"113","64.11250305175781","64.11250305175781","64.11250305175781","104.05155944824219","104.05155944824219","104.05155944824219"
"114","65.41093444824219","65.41093444824219","65.41093444824219","102.8296890258789","102.8296890258789","102.8296890258789"
"115","63.485939025878906","63.485939025878906","63.485939025878906","108.04219055175781","108.04219055175781","108.04219055175781"
"116","64.67655944824219","64.67655944824219","64.67655944824219","113.7562484741211","113.7562484741211","113.7562484741211"
"117","64.37031555175781","64.37031555175781","64.37031555175781","117.85624694824219","117.85624694824219","117.85624694824219"
"118","64.6421890258789","64.6421890258789","64.6421890258789","113.7328109741211","113.7328109741211","113.7328109741211"
"119","63.900001525878906","63.900001525878906","63.900001525878906","107.1703109741211","107.1703109741211","107.1703109741211"
"120","63.282814025878906","63.282814025878906","63.282814025878906","105.3375015258789","105.3375015258789","105.3375015258789"
"121","62.404685974121094","62.404685974121094","62.404685974121094","103.86250305175781","103.86250305175781","103.86250305175781"
"122","64.5171890258789","64.5171890258789","64.5171890258789","106.24687194824219","106.24687194824219","106.24687194824219"
"123","64.0093765258789","64.0093765258789","64.0093765258789","101.53593444824219","101.53593444824219","101.53593444824219"
"124","64.7874984741211","64.7874984741211","64.7874984741211","98.3734359741211","98.3734359741211","98.3734359741211"
"125","65.6234359741211","65.6234359741211","65.6234359741211","100.37812805175781","100.37812805175781","100.37812805175781"
"126","66.3921890258789","66.3921890258789","66.3921890258789","96.6328125","96.6328125","96.6328125"
"127","65.4703140258789","65.4703140258789","65.4703140258789","95.0390625","95.0390625","95.0390625"
"128","63.390625","63.390625","63.390625","96.3265609741211","96.3265609741211","96.3265609741211"
"129","64.0234375","64.0234375","64.0234375","99.1734390258789","99.1734390258789","99.1734390258789"
"130","64.41719055175781","64.41719055175781","64.41719055175781","97.48905944824219","97.48905944824219","97.48905944824219"
"131","61.61249923706055","61.61249923706055","61.61249923706055","94.7281265258789","94.7281265258789","94.7281265258789"
"132","61.2578125","61.2578125","61.2578125","92.8031234741211","92.8031234741211","92.8031234741211"
"133","61.001564025878906","61.001564025878906","61.001564025878906","91.97343444824219","91.97343444824219","91.97343444824219"
"134","59.96562576293945","59.96562576293945","59.96562576293945","93.94999694824219","93.94999694824219","93.94999694824219"
"135","56.11406326293945","56.11406326293945","56.11406326293945","92.80155944824219","92.80155944824219","92.80155944824219"
"136","55.81718826293945","55.81718826293945","55.81718826293945","89.26875305175781","89.26875305175781","89.26875305175781"
"137","57.20781326293945","57.20781326293945","57.20781326293945","88.7421875","88.7421875","88.7421875"
"138","56.37187576293945","56.37187576293945","56.37187576293945","88.875","88.875","88.875"
"139","57.703125","57.703125","57.703125","91.7046890258789","91.7046890258789","91.7046890258789"
"140","57.84375","57.84375","57.84375","91.7328109741211","91.7328109741211","91.7328109741211"
