"Step","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_ordering","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_ordering__MIN","time_reasoning/combined_tasks_from_inferring_easy_dynamic_alpha - val/pred_reward_time_ordering__MAX"
"0","0.18503830600123755","0.18503830600123755","0.18503830600123755"
"10","0.287576019189723","0.287576019189723","0.287576019189723"
"20","0.36191583125825527","0.36191583125825527","0.36191583125825527"
"30","0.377583502525318","0.377583502525318","0.377583502525318"
"40","0.39376812530467953","0.39376812530467953","0.39376812530467953"
"50","0.40424874399985367","0.40424874399985367","0.40424874399985367"
"60","0.388069717703053","0.388069717703053","0.388069717703053"
"70","0.4025631651914897","0.4025631651914897","0.4025631651914897"
"80","0.4276350024294669","0.4276350024294669","0.4276350024294669"
"90","0.4247969953613118","0.4247969953613118","0.4247969953613118"
"100","0.42609161415618535","0.42609161415618535","0.42609161415618535"
"110","0.4250860763208445","0.4250860763208445","0.4250860763208445"
"120","0.43714631318102765","0.43714631318102765","0.43714631318102765"
"130","0.4406308050259884","0.4406308050259884","0.4406308050259884"
"140","0.44525969217273276","0.44525969217273276","0.44525969217273276"
"150","0.45414708028703066","0.45414708028703066","0.45414708028703066"
"160","0.46087515338896445","0.46087515338896445","0.46087515338896445"
"170","0.46824697594670195","0.46824697594670195","0.46824697594670195"
"180","0.47983966659007865","0.47983966659007865","0.47983966659007865"
"190","0.49499912265522006","0.49499912265522006","0.49499912265522006"
"200","0.48337347201128017","0.48337347201128017","0.48337347201128017"
"210","0.4715067734015804","0.4715067734015804","0.4715067734015804"
"220","0.4727856485188181","0.4727856485188181","0.4727856485188181"
"230","0.48036615904090174","0.48036615904090174","0.48036615904090174"
"240","0.4849131573650007","0.4849131573650007","0.4849131573650007"
"250","0.4892443117145895","0.4892443117145895","0.4892443117145895"
"260","0.49398522033162695","0.49398522033162695","0.49398522033162695"
"270","0.48860732339793067","0.48860732339793067","0.48860732339793067"
"280","0.5035918803395922","0.5035918803395922","0.5035918803395922"
"290","0.5135015906271472","0.5135015906271472","0.5135015906271472"
"300","0.5095144500385549","0.5095144500385549","0.5095144500385549"
"310","0.5181308047246004","0.5181308047246004","0.5181308047246004"
"320","0.5205014004898918","0.5205014004898918","0.5205014004898918"
"330","0.5344969322924269","0.5344969322924269","0.5344969322924269"
"340","0.518091330068829","0.518091330068829","0.518091330068829"
"350","0.5373023042143992","0.5373023042143992","0.5373023042143992"
"360","0.5284505683664164","0.5284505683664164","0.5284505683664164"
"370","0.5297322701985372","0.5297322701985372","0.5297322701985372"
"380","0.5277322456609663","0.5277322456609663","0.5277322456609663"
"390","0.5338360132921307","0.5338360132921307","0.5338360132921307"
"400","0.5217525913363494","0.5217525913363494","0.5217525913363494"
"410","0.5209117429285555","0.5209117429285555","0.5209117429285555"
"420","0.5268717303093119","0.5268717303093119","0.5268717303093119"
"430","0.542657398981014","0.542657398981014","0.542657398981014"
"440","0.5313507905595294","0.5313507905595294","0.5313507905595294"
"450","0.5335248737067971","0.5335248737067971","0.5335248737067971"
"460","0.5385036594880361","0.5385036594880361","0.5385036594880361"
